time_start,time_end,Sender,Receiver,Distance
4.9,9.6,20,10,1
5.2,6.5,6,7,1
5.3,8.3,9,5,1
5.7,7.0,26,19,1
5.8,7.7,18,2,1
5.9,7.8,5,21,1
5.9,8.0,28,26,1
6.0,6.8,7,4,1
6.0,8.0,18,27,1
6.0,8.1,25,10,1
6.4,8.2,27,21,1
6.6,8.4,17,19,1
7.0,8.5,4,6,1
7.0,9.2,25,22,1
7.2,10.3,18,14,1
7.3,8.4,14,5,1
7.4,10.2,16,21,1
7.5,9.1,4,5,1
7.7,9.3,2,15,1
7.8,8.4,21,9,1
7.8,8.8,19,27,1
7.9,9.9,4,21,1
8.0,8.8,10,19,1
8.0,10.5,27,22,1
8.0,9.6,4,5,1
8.0,8.5,7,6,1
8.1,12.8,15,27,1
8.3,10.8,6,27,1
8.3,8.9,5,11,1
8.4,9.7,5,10,1
8.5,9.6,6,24,1
8.6,11.1,16,24,1
8.8,10.7,27,24,1
9.3,10.6,15,28,1
9.4,10.5,21,17,1
9.6,11.8,28,10,1
9.7,11.3,26,17,1
9.8,11.2,16,21,1
10.0,11.2,21,16,1
10.3,12.6,5,10,1
10.4,12.0,6,1,1
10.6,12.2,10,9,1
10.6,12.2,28,1,1
10.6,14.5,5,7,1
10.7,13.3,5,4,1
10.7,11.5,24,19,1
11.0,12.5,25,5,1
11.0,11.5,4,1,1
11.1,11.2,24,14,1
11.2,13.6,21,25,1
11.5,12.5,1,6,1
11.5,13.3,10,1,1
11.7,12.8,17,27,1
11.7,12.7,27,25,1
12.0,14.4,10,7,1
12.2,14.9,9,12,1
12.2,13.8,21,25,1
12.5,15.6,5,12,1
12.5,13.1,6,2,1
12.6,13.7,7,28,1
12.7,13.7,25,26,1
12.8,13.5,19,27,1
13.2,14.9,17,1,1
13.7,16.3,1,12,1
13.7,15.2,28,21,1
13.7,13.9,2,19,1
13.8,15.5,1,4,1
13.8,15.9,25,24,1
13.9,14.7,16,24,1
14.4,15.5,27,24,1
14.6,16.7,25,23,1
14.7,15.8,26,22,1
15.2,16.4,21,16,1
15.5,16.5,24,22,1
15.6,19.1,19,7,1
15.6,16.2,1,11,1
16.1,18.4,12,5,1
16.3,18.3,12,8,1
16.4,19.9,16,20,1
16.5,17.7,22,19,1
16.5,18.0,18,20,1
16.6,17.4,1,11,1
16.8,17.8,9,12,1
17.0,18.1,24,6,1
17.0,18.3,2,6,1
17.1,18.3,23,26,1
17.2,18.1,11,3,1
17.3,18.4,7,2,1
17.6,19.1,4,1,1
18.9,20.6,27,22,1
19.0,20.9,20,22,1
19.1,21.6,7,11,1
19.2,20.0,3,27,1
19.2,20.3,24,20,1
19.9,21.3,23,5,1
20.1,20.8,12,21,1
20.4,20.5,5,4,1
20.5,21.9,1,6,1
20.8,22.3,21,23,1
21.4,23.3,26,18,1
21.5,22.8,19,16,1
22.0,24.6,22,23,1
22.1,24.8,8,14,1
22.2,23.1,24,17,1
22.3,23.4,20,28,1
22.3,23.4,2,23,1
23.1,26.5,23,25,1
23.2,24.7,11,9,1
23.3,25.4,18,27,1
23.4,24.4,23,21,1
23.4,24.5,28,7,1
24.4,24.9,6,2,1
24.5,27.4,7,3,1
24.8,27.2,14,5,1
24.9,26.3,2,10,1
25.0,25.8,21,20,1
25.6,28.2,2,5,1
25.9,27.0,19,24,1
26.0,27.3,4,2,1
26.2,27.3,6,2,1
26.3,26.6,20,7,1
26.5,29.9,25,26,1
26.6,28.0,20,28,1
26.6,28.3,4,6,1
26.8,28.3,27,18,1
26.9,28.1,23,28,1
27.0,28.2,9,8,1
27.3,28.8,2,6,1
27.3,29.5,11,5,1
27.3,28.8,2,17,1
27.4,27.6,3,25,1
27.6,28.7,5,17,1
27.7,29.3,10,13,1
28.1,30.3,25,1,1
28.6,30.9,4,1,1
28.8,29.6,6,3,1
29.1,29.1,8,27,1
29.2,30.5,25,6,1
29.3,31.6,13,8,1
29.5,30.5,5,18,1
29.6,31.2,28,20,1
29.6,30.8,3,2,1
29.9,31.4,28,6,1
30.0,31.9,18,10,1
30.3,33.1,1,22,1
30.3,32.6,5,4,1
30.3,32.9,17,20,1
30.5,33.3,18,19,1
30.5,31.9,28,18,1
30.5,31.7,6,21,1
30.6,33.1,6,9,1
30.8,32.5,2,6,1
31.1,33.0,16,21,1
31.9,34.1,10,18,1
32.1,37.0,1,8,1
32.5,34.5,6,17,1
32.7,35.5,17,18,1
32.7,33.4,10,6,1
32.9,33.7,6,28,1
33.0,33.6,21,2,1
33.1,34.6,15,17,1
33.1,38.0,9,16,1
33.7,34.3,28,20,1
34.1,35.9,18,13,1
34.4,36.6,6,4,1
34.5,36.2,26,24,1
34.7,36.0,20,6,1
34.9,38.2,4,11,1
35.1,36.9,2,9,1
35.2,36.1,17,21,1
35.7,36.9,20,17,1
35.9,37.4,3,1,1
35.9,36.4,13,1,1
36.6,37.3,4,10,1
36.6,38.2,3,5,1
37.0,39.0,8,3,1
37.0,37.4,19,1,1
37.1,38.1,21,17,1
37.3,39.3,10,1,1
37.6,38.6,24,22,1
37.6,38.2,1,3,1
37.8,38.6,6,7,1
37.9,39.5,17,26,1
38.0,40.4,16,23,1
38.0,39.7,15,16,1
38.2,39.5,9,7,1
38.2,39.8,3,1,1
38.5,38.7,18,7,1
38.6,40.5,7,20,1
39.0,41.2,3,12,1
39.0,40.1,1,5,1
39.4,41.5,17,16,1
39.4,40.4,3,10,1
39.6,42.3,8,22,1
39.7,42.6,11,9,1
39.8,40.8,1,4,1
40.0,41.7,3,20,1
40.3,41.5,5,13,1
40.4,41.9,1,19,1
40.5,42.6,20,25,1
40.8,42.3,4,10,1
40.9,42.7,4,5,1
41.1,43.6,5,8,1
41.3,42.9,13,2,1
41.9,42.4,26,23,1
42.5,44.9,10,14,1
42.6,44.7,23,16,1
42.6,45.1,25,23,1
42.6,43.7,9,24,1
42.7,44.2,5,26,1
42.8,44.6,7,9,1
43.2,44.6,5,8,1
43.3,44.6,13,9,1
43.5,44.7,10,2,1
44.2,46.1,26,22,1
44.3,47.5,12,13,1
44.4,46.3,27,8,1
44.5,46.0,24,12,1
44.6,46.2,8,10,1
44.9,47.1,12,3,1
45.0,47.3,26,27,1
45.5,49.0,2,10,1
45.9,47.1,22,26,1
45.9,47.5,5,12,1
45.9,48.1,16,25,1
46.0,47.6,9,10,1
46.1,47.7,22,16,1
46.1,47.6,5,10,1
46.2,46.5,12,23,1
46.3,47.6,8,2,1
46.6,48.2,2,13,1
46.8,47.8,9,2,1
47.4,48.9,3,1,1
47.5,48.5,10,2,1
47.5,48.9,12,4,1
47.6,49.9,27,26,1
47.7,48.7,16,4,1
47.8,50.1,15,22,1
47.8,48.8,2,9,1
48.1,49.5,3,10,1
48.1,48.5,25,22,1
48.2,49.8,14,8,1
48.3,50.2,8,12,1
48.6,49.7,12,23,1
48.7,50.1,4,11,1
48.9,50.8,2,4,1
48.9,51.3,10,3,1
49.0,52.9,10,9,1
49.4,51.0,10,3,1
49.4,51.0,9,13,1
49.7,51.4,23,21,1
49.9,51.3,26,19,1
50.1,51.2,11,4,1
50.6,51.7,4,5,1
50.8,52.8,18,26,1
50.9,51.5,21,20,1
51.1,52.4,12,3,1
51.3,52.5,2,10,1
51.4,53.2,21,11,1
52.0,54.3,4,17,1
52.1,54.9,1,9,1
52.4,53.6,8,1,1
52.5,53.9,10,8,1
52.8,54.2,3,1,1
52.8,54.5,19,28,1
52.9,54.5,13,5,1
53.0,54.7,22,23,1
53.3,54.9,8,2,1
53.9,55.1,3,9,1
54.0,56.9,10,20,1
54.1,54.8,9,5,1
54.2,55.4,5,3,1
54.2,55.8,26,22,1
54.2,54.8,5,18,1
54.2,55.3,26,7,1
54.3,55.7,17,25,1
54.4,55.9,3,4,1
54.5,57.9,11,26,1
54.9,56.2,23,25,1
55.3,56.6,8,7,1
55.4,56.6,1,2,1
55.5,56.0,8,4,1
55.9,57.6,2,4,1
55.9,57.1,1,11,1
56.1,57.1,18,25,1
56.1,58.0,5,12,1
56.1,58.9,25,3,1
56.2,59.0,9,8,1
56.5,60.0,5,14,1
56.6,57.8,3,11,1
56.9,58.4,4,22,1
56.9,60.1,3,4,1
57.3,59.5,2,9,1
57.3,59.4,9,1,1
57.4,58.6,23,17,1
57.4,60.1,4,5,1
57.5,58.4,7,5,1
57.6,58.6,4,3,1
57.9,59.4,26,15,1
58.3,61.2,25,22,1
58.5,61.3,4,13,1
58.5,59.7,5,7,1
58.7,61.3,22,13,1
58.7,60.8,11,1,1
58.8,60.0,25,23,1
59.1,61.3,21,24,1
59.6,60.4,5,4,1
59.8,59.9,17,2,1
59.9,61.6,2,8,1
60.0,61.0,1,5,1
60.0,62.7,14,13,1
60.8,61.9,9,14,1
60.9,62.2,4,10,1
61.0,62.6,7,2,1
61.2,62.6,4,11,1
61.3,63.4,13,7,1
61.3,62.8,13,9,1
61.5,63.8,5,1,1
61.6,62.8,7,1,1
61.6,63.4,4,5,1
61.8,62.6,3,4,1
62.0,64.1,1,10,1
62.3,63.5,23,24,1
62.5,64.1,3,14,1
62.6,64.0,14,9,1
62.6,63.9,24,16,1
62.8,63.8,10,4,1
63.2,65.3,2,10,1
64.2,65.9,1,14,1
64.3,66.2,5,14,1
64.4,65.5,9,2,1
64.7,66.5,24,23,1
64.8,65.0,4,10,1
65.1,69.7,7,12,1
65.2,66.8,10,7,1
65.3,66.1,8,7,1
65.7,66.8,16,17,1
65.8,66.6,9,13,1
65.8,66.5,11,18,1
66.5,67.5,22,15,1
66.5,69.3,18,22,1
66.5,67.4,10,20,1
66.8,66.9,23,11,1
67.1,68.5,25,26,1
67.2,69.8,9,18,1
67.4,68.2,7,10,1
67.4,68.4,14,5,1
67.5,69.6,14,10,1
67.8,68.8,1,5,1
68.0,70.6,17,23,1
68.1,70.7,7,18,1
68.8,71.9,18,25,1
68.8,70.6,2,27,1
68.8,70.2,15,26,1
68.9,70.0,22,17,1
68.9,70.1,15,18,1
69.0,71.2,10,3,1
69.1,71.3,22,7,1
69.2,69.8,5,1,1
69.3,70.5,22,2,1
69.4,70.6,5,14,1
69.4,70.4,9,2,1
70.0,71.3,18,28,1
70.1,71.7,5,3,1
70.4,71.9,2,4,1
70.5,71.2,1,14,1
70.6,71.7,10,9,1
70.7,71.9,18,17,1
71.2,73.7,3,11,1
71.3,72.4,26,25,1
71.5,72.9,14,7,1
71.8,73.1,5,4,1
71.9,75.7,17,23,1
71.9,72.8,4,1,1
72.1,73.6,23,19,1
72.2,74.8,17,16,1
72.3,73.7,28,15,1
72.4,75.6,24,18,1
72.5,74.3,18,25,1
72.8,74.9,1,17,1
72.8,74.8,2,1,1
73.4,76.0,27,2,1
73.6,76.4,18,27,1
73.9,74.8,25,18,1
73.9,75.8,14,1,1
74.0,75.2,4,14,1
74.0,75.9,3,10,1
74.7,74.9,19,13,1
74.8,76.9,18,26,1
74.8,76.6,25,11,1
74.9,75.7,17,18,1
75.2,77.1,15,22,1
75.3,76.4,25,19,1
75.3,77.1,6,2,1
75.7,76.5,1,13,1
75.7,76.7,18,28,1
75.7,78.1,23,16,1
75.8,77.1,7,5,1
75.8,77.3,9,25,1
75.9,76.8,10,16,1
76.1,77.0,7,2,1
76.1,77.6,1,10,1
76.4,77.8,19,17,1
76.7,78.3,26,17,1
76.7,78.2,23,27,1
76.9,77.5,18,5,1
77.4,78.0,11,20,1
77.5,80.4,5,1,1
77.9,81.4,28,26,1
78.1,81.1,5,16,1
78.2,78.7,27,16,1
78.3,79.3,27,1,1
78.3,79.7,10,4,1
78.4,78.5,16,6,1
78.6,79.8,14,5,1
78.7,80.1,16,27,1
78.9,81.1,11,14,1
79.1,81.7,2,8,1
79.3,81.0,1,3,1
79.7,80.0,20,11,1
80.1,81.1,27,2,1
80.2,82.4,27,24,1
80.2,82.0,17,15,1
80.3,81.4,16,18,1
80.4,81.6,1,10,1
81.0,82.6,3,13,1
81.1,82.9,4,8,1
81.1,81.9,2,4,1
81.2,82.2,13,7,1
81.3,82.3,11,1,1
81.6,83.6,22,26,1
81.9,82.7,17,26,1
82.2,83.3,7,13,1
82.3,83.8,18,23,1
83.0,84.2,2,7,1
83.1,84.4,15,20,1
83.2,84.8,21,10,1
83.3,84.2,24,1,1
83.3,86.3,19,26,1
83.6,84.4,26,17,1
83.6,85.3,13,9,1
83.8,84.9,5,6,1
84.3,86.0,10,8,1
84.3,86.6,8,5,1
84.4,85.1,20,21,1
84.4,87.6,17,27,1
84.7,85.9,7,2,1
84.8,86.1,10,21,1
84.8,86.5,16,21,1
84.9,86.8,6,5,1
84.9,86.2,6,10,1
85.0,87.6,14,22,1
85.1,89.9,23,10,1
85.3,86.4,26,18,1
85.9,86.6,7,10,1
86.4,87.8,18,2,1
86.4,87.5,9,3,1
86.9,87.9,1,11,1
87.1,89.7,24,25,1
87.3,88.4,21,22,1
87.3,89.1,21,24,1
87.6,88.7,22,15,1
87.6,89.5,26,24,1
88.0,89.8,8,17,1
88.1,89.1,10,3,1
88.3,88.8,8,21,1
88.8,89.5,9,4,1
88.9,90.3,22,19,1
88.9,89.6,2,8,1
89.1,90.8,24,5,1
89.1,89.9,3,6,1
89.5,90.3,4,2,1
89.7,91.0,11,5,1
89.8,91.1,3,6,1
89.8,91.2,27,18,1
89.8,90.4,17,25,1
89.9,90.8,24,21,1
90.2,91.3,21,16,1
90.3,91.5,2,7,1
90.4,92.1,25,11,1
90.5,92.7,25,23,1
90.5,93.4,8,9,1
90.6,91.5,6,3,1
90.8,92.9,5,3,1
90.9,93.2,23,21,1
90.9,92.9,19,24,1
91.1,93.4,10,8,1
91.3,92.3,16,28,1
91.7,92.7,25,23,1
91.8,93.8,24,7,1
92.0,93.0,21,25,1
92.1,93.3,7,4,1
92.3,92.6,28,2,1
92.5,93.7,4,11,1
92.7,93.6,23,18,1
93.2,93.4,21,1,1
93.4,94.9,9,11,1
93.5,95.6,18,9,1
93.7,94.8,11,4,1
93.9,94.5,28,16,1
94.1,96.0,3,7,1
94.3,99.1,2,14,1
94.4,97.0,23,22,1
94.4,95.8,3,13,1
94.7,96.7,18,17,1
94.9,96.3,24,19,1
95.1,96.6,5,11,1
95.3,96.1,21,15,1
95.4,95.5,19,19,1
95.9,96.5,16,20,1
96.0,96.8,25,22,1
96.1,97.5,15,25,1
96.5,99.5,11,9,1
96.8,98.2,22,17,1
96.9,98.2,13,2,1
97.0,97.7,19,22,1
97.5,100.4,25,4,1
97.5,99.4,11,1,1
97.6,99.9,8,10,1
97.7,99.4,22,27,1
97.7,98.9,4,10,1
97.7,98.6,20,1,1
98.2,100.2,2,9,1
98.3,99.7,17,25,1
98.4,99.7,8,5,1
98.6,99.9,1,4,1
98.9,100.0,17,23,1
99.4,101.5,1,22,1
99.6,100.3,21,17,1
99.7,101.2,5,3,1
99.8,101.7,17,15,1
100.0,101.3,10,2,1
100.0,101.1,22,24,1
100.0,102.6,7,3,1
100.4,101.9,4,22,1
100.6,102.5,17,21,1
101.0,102.9,9,7,1
101.1,103.0,24,27,1
101.1,103.0,25,8,1
101.2,102.4,27,10,1
101.2,103.3,3,18,1
101.3,102.5,2,11,1
101.5,103.6,22,20,1
101.7,103.9,27,17,1
102.0,103.0,9,2,1
102.5,102.7,15,13,1
102.5,103.3,23,17,1
102.5,104.5,11,9,1
102.8,103.7,4,3,1
103.3,103.9,17,4,1
103.3,104.5,18,10,1
103.4,105.0,23,27,1
103.5,106.2,4,8,1
103.6,104.3,20,19,1
104.5,105.6,10,15,1
104.8,106.3,20,18,1
104.9,105.2,27,5,1
105.2,106.5,22,17,1
105.2,107.4,3,10,1
105.6,107.3,3,7,1
105.6,109.0,15,19,1
105.6,106.5,19,16,1
105.8,106.9,1,11,1
105.9,108.2,7,8,1
106.4,107.8,9,5,1
106.5,111.1,16,28,1
106.5,108.3,4,10,1
106.5,107.4,27,23,1
106.7,108.1,27,23,1
106.7,107.7,25,20,1
107.4,108.6,17,16,1
107.6,111.2,25,24,1
107.7,109.5,2,9,1
107.7,108.9,20,25,1
107.9,109.0,10,6,1
107.9,109.1,16,23,1
108.1,109.4,22,27,1
108.2,110.0,8,24,1
108.5,109.3,18,16,1
108.6,109.8,10,3,1
108.8,110.4,23,25,1
108.9,110.9,25,17,1
109.1,109.7,23,16,1
109.8,112.1,23,25,1
110.0,111.7,10,8,1
110.2,114.6,11,6,1
110.4,114.4,7,9,1
110.5,112.7,4,5,1
110.8,111.9,16,23,1
111.0,112.9,5,11,1
111.1,112.6,9,13,1
111.4,114.0,3,7,1
111.5,113.5,8,3,1
111.6,112.7,6,19,1
111.7,116.0,17,21,1
112.1,113.3,25,15,1
112.6,116.0,6,12,1
112.6,115.2,10,8,1
112.8,114.6,18,17,1
113.2,115.1,6,2,1
113.4,114.3,27,17,1
113.6,114.8,13,5,1
114.1,116.6,5,21,1
114.4,118.7,9,26,1
114.5,115.9,23,25,1
114.8,116.7,7,4,1
115.0,115.5,8,22,1
115.0,115.9,11,4,1
115.0,117.4,23,15,1
115.2,117.2,8,5,1
115.4,116.1,17,7,1
115.4,116.5,28,25,1
115.6,117.4,7,14,1
115.9,116.2,4,27,1
116.0,117.6,12,18,1
116.1,118.7,17,22,1
116.5,118.8,25,19,1
116.6,118.1,5,25,1
116.6,118.4,21,20,1
116.8,118.7,2,10,1
117.4,119.1,15,26,1
117.5,118.8,22,7,1
117.7,118.4,5,21,1
117.7,118.3,8,23,1
117.8,118.3,9,5,1
117.9,118.1,27,4,1
118.0,119.4,25,18,1
118.5,119.4,3,1,1
118.5,119.4,6,11,1
118.7,122.8,22,21,1
118.7,120.4,4,6,1
118.8,121.4,7,24,1
118.9,120.0,5,26,1
119.4,121.7,18,26,1
119.4,120.8,1,5,1
119.6,119.9,21,4,1
120.0,121.2,26,15,1
120.0,121.1,7,4,1
120.2,121.9,20,19,1
120.2,120.9,28,20,1
120.3,121.1,25,5,1
120.4,123.0,3,6,1
120.5,122.1,26,18,1
121.0,124.2,26,19,1
121.2,123.6,1,6,1
121.2,122.4,10,2,1
121.4,122.2,14,5,1
121.7,123.6,26,17,1
121.8,122.1,15,24,1
122.2,123.0,5,4,1
122.4,122.8,2,3,1
122.6,123.8,23,10,1
122.8,124.6,21,28,1
122.9,124.9,8,13,1
123.0,124.1,4,3,1
123.0,124.6,24,1,1
123.2,124.6,19,27,1
123.2,124.2,9,1,1
123.3,124.5,4,5,1
123.6,125.9,21,16,1
123.6,124.6,3,10,1
123.8,125.8,15,9,1
123.9,126.0,6,12,1
124.0,125.7,6,4,1
124.5,126.0,19,23,1
124.5,126.0,10,13,1
124.6,127.0,28,19,1
124.6,125.6,1,2,1
124.7,125.7,5,4,1
124.9,126.2,3,6,1
125.2,126.6,1,5,1
125.5,126.0,10,6,1
125.5,126.5,27,22,1
125.6,127.3,17,27,1
125.8,127.8,9,2,1
125.9,129.1,18,22,1
126.0,129.5,12,10,1
126.3,128.3,3,8,1
126.5,128.4,2,3,1
127.3,129.0,27,18,1
127.3,127.5,13,23,1
127.4,129.7,4,10,1
127.5,130.3,13,11,1
127.6,129.7,22,24,1
127.8,128.9,2,9,1
127.9,128.6,5,4,1
128.2,129.5,5,4,1
128.4,129.0,3,17,1
128.7,129.5,6,2,1
128.9,130.2,9,10,1
129.2,130.3,22,2,1
129.2,130.7,18,17,1
129.8,130.7,4,6,1
130.0,130.6,2,3,1
130.3,132.2,2,27,1
130.5,131.6,24,27,1
130.6,131.3,3,2,1
130.7,132.7,17,26,1
130.8,131.2,4,21,1
131.0,131.9,18,19,1
131.0,132.7,4,7,1
131.3,133.2,7,3,1
131.4,132.6,10,7,1
131.5,133.9,11,6,1
132.1,135.0,19,15,1
132.5,133.7,21,15,1
132.7,133.8,26,2,1
132.7,134.7,22,21,1
132.8,135.0,6,11,1
133.0,133.8,2,3,1
134.0,136.0,16,27,1
134.0,135.9,17,19,1
134.1,135.4,19,26,1
134.2,136.0,27,21,1
134.3,135.4,10,9,1
134.4,137.2,3,9,1
134.5,135.8,17,21,1
135.0,137.7,15,17,1
135.3,136.5,15,26,1
135.9,136.9,6,2,1
135.9,136.1,3,15,1
136.0,136.8,9,14,1
136.0,136.9,27,23,1
136.0,137.2,21,2,1
136.5,137.1,7,5,1
136.6,137.6,21,17,1
136.8,137.4,2,9,1
136.8,137.9,14,9,1
136.9,137.8,23,16,1
137.4,139.9,7,6,1
137.9,139.4,9,2,1
138.4,138.7,21,5,1
138.6,139.5,3,7,1
138.7,139.6,17,22,1
138.8,139.8,26,18,1
139.1,141.3,2,16,1
139.4,141.0,2,9,1
139.5,140.8,9,4,1
140.0,141.7,7,5,1
140.1,141.0,21,3,1
140.3,141.4,17,15,1
140.5,142.2,3,8,1
140.6,141.2,5,13,1
141.0,141.1,9,14,1
141.1,143.1,9,2,1
141.4,143.2,6,13,1
141.4,142.5,15,18,1
141.6,143.0,4,7,1
141.9,143.2,18,26,1
142.0,142.9,16,27,1
142.1,144.0,18,20,1
142.3,144.1,15,22,1
142.5,143.0,18,17,1
142.7,145.2,3,9,1
143.3,144.4,1,6,1
143.5,144.7,27,21,1
144.0,147.7,26,15,1
144.0,145.3,8,2,1
144.8,146.5,7,9,1
145.0,145.5,2,27,1
145.2,146.6,17,16,1
145.5,147.5,13,7,1
145.6,146.6,20,28,1
145.8,147.8,15,17,1
145.9,147.0,22,15,1
146.2,148.4,13,10,1
146.3,146.5,21,27,1
146.5,147.5,22,26,1
146.5,148.0,27,15,1
146.6,148.8,9,7,1
146.6,149.1,25,23,1
147.0,149.9,15,17,1
147.2,148.1,16,25,1
147.5,148.5,7,13,1
147.9,148.5,6,2,1
147.9,150.1,22,1,1
149.1,151.3,25,19,1
149.1,150.7,5,7,1
149.1,150.1,8,9,1
149.3,150.4,2,6,1
149.5,151.0,10,2,1
149.6,153.2,15,11,1
149.6,151.4,12,10,1
149.9,152.0,17,21,1
150.0,151.2,13,9,1
150.1,151.9,1,10,1
150.1,152.7,9,10,1
150.1,152.1,7,3,1
150.2,151.4,26,27,1
150.7,152.8,18,25,1
150.8,151.1,6,25,1
150.8,151.5,10,3,1
151.2,152.0,7,5,1
151.2,152.7,28,9,1
151.2,152.6,17,18,1
151.2,151.5,9,23,1
151.4,157.4,16,6,1
151.4,154.8,15,17,1
151.4,151.6,27,1,1
151.5,152.6,3,10,1
152.6,154.3,18,17,1
152.6,152.8,10,28,1
152.7,154.1,9,28,1
152.7,154.6,19,17,1
152.8,155.0,10,9,1
152.8,154.3,21,27,1
153.3,154.4,3,2,1
153.4,154.5,21,18,1
153.6,155.1,10,12,1
153.9,155.3,9,11,1
154.1,156.0,3,11,1
154.3,155.1,25,26,1
154.4,156.1,6,23,1
154.8,156.1,17,22,1
155.0,157.1,9,25,1
155.0,157.4,2,5,1
155.0,156.1,2,5,1
155.3,156.1,10,3,1
155.5,157.6,17,16,1
155.6,157.0,27,20,1
155.6,156.4,6,2,1
156.1,156.8,3,2,1
156.6,158.7,12,8,1
156.8,158.2,22,25,1
156.8,158.7,11,4,1
157.0,158.5,20,21,1
157.4,159.1,6,10,1
157.6,158.5,16,23,1
158.0,160.1,17,21,1
158.1,159.3,10,2,1
158.7,159.7,2,10,1
159.0,159.8,25,23,1
159.5,161.5,8,12,1
159.6,160.4,10,2,1
159.8,160.4,23,22,1
159.8,161.1,23,25,1
160.0,160.4,5,7,1
160.0,160.1,26,13,1
160.2,165.4,5,14,1
160.3,163.0,2,9,1
160.5,161.3,4,6,1
160.5,161.5,10,16,1
160.8,161.8,21,20,1
161.1,161.8,2,10,1
161.5,167.3,22,8,1
161.8,163.2,20,21,1
163.0,165.9,25,9,1
163.0,164.7,16,21,1
163.0,165.3,9,17,1
163.1,165.5,10,7,1
163.2,164.3,12,7,1
163.5,167.0,7,22,1
163.6,165.3,9,10,1
163.8,165.5,10,9,1
163.9,164.4,4,11,1
164.4,166.0,24,2,1
164.4,166.7,21,16,1
164.4,167.6,12,27,1
164.4,165.0,11,2,1
164.7,166.6,4,22,1
164.7,166.4,11,1,1
165.3,168.1,23,10,1
165.3,165.6,20,19,1
165.4,166.9,6,7,1
166.4,167.8,2,13,1
167.2,169.8,7,10,1
167.2,169.8,10,8,1
167.6,169.0,27,19,1
167.6,171.1,19,28,1
167.8,168.1,13,24,1
168.3,169.7,8,3,1
168.4,170.1,9,13,1
168.6,170.0,7,8,1
168.8,171.5,1,21,1
169.3,171.3,9,10,1
170.1,171.1,21,28,1
170.9,171.9,1,12,1
171.0,172.3,3,8,1
171.3,172.6,21,16,1
171.3,172.8,10,2,1
171.4,173.0,10,24,1
171.5,172.7,21,12,1
172.0,175.3,28,17,1
172.0,173.3,8,7,1
172.2,172.8,8,9,1
172.6,173.4,22,28,1
172.6,174.3,16,21,1
172.7,174.2,12,22,1
172.8,174.4,9,8,1
173.0,174.0,24,22,1
173.3,175.1,8,12,1
173.3,174.1,24,21,1
173.8,176.8,13,24,1
174.0,175.6,7,5,1
174.0,176.5,5,11,1
174.0,175.3,22,27,1
174.1,175.0,28,22,1
174.2,175.7,22,20,1
174.5,175.8,12,11,1
174.6,175.3,13,4,1
175.1,177.6,12,17,1
175.2,179.7,8,5,1
175.2,177.1,2,10,1
175.3,177.9,21,26,1
175.3,177.0,27,16,1
175.3,178.5,17,1,1
175.3,176.5,4,13,1
175.5,176.6,21,16,1
176.3,177.8,20,14,1
177.0,179.2,3,14,1
177.1,178.1,5,4,1
177.2,178.6,11,5,1
177.7,181.9,22,28,1
177.7,182.7,16,26,1
178.6,179.7,14,4,1
179.4,181.8,4,1,1
