time_start,time_end,sender_id,receiver_id,empty_columns_sequence
8500,9600,6,24,1111011111100111111101011110
8600,11100,16,24,1111111011001111110110111101
8800,10700,27,24,1111100111111011111001111110
9300,10600,15,28,1110111111110011111111011001
9400,10500,21,17,1110111011111010111011111110
9600,11800,28,10,1111110011111010110011111111
9700,11300,26,17,1111110011111011110110101111
9800,11200,16,21,0101111111111011101011111101
10000,11200,21,16,1111110110110111110111011110
10300,12600,5,10,1111111011010111010111111101
10400,12000,6,1,1101111111011011101011011111
10600,12200,28,1,1110111111110011111111011001
10600,12200,10,9,1101101111110111111111011010
10600,14500,5,7,1101101111110111111111011010
10700,11500,24,19,1111100111111011111001111110
10700,13300,5,4,1111110011111011110110101111
11000,11500,4,1,1111011111100111111101011110
11000,12500,25,5,1111100111111011111001111110
11100,11200,24,14,1111111011001111110110111101
11200,13600,21,25,0101111111111011101011111101
11500,12500,1,6,1111011111100111111101011110
11500,13300,10,1,1110111111110011111111011001
11700,12800,17,27,1110111011111010111011111110
11700,12700,27,25,1111011111100111111101011110
12000,14400,10,7,1101111111101011111111101001
12200,13800,21,25,1111111011010111010111111101
12200,14900,9,12,1101101111110111111111011010
12500,13100,6,2,1111011111100111111101011110
12500,15600,5,12,1111100111111011111001111110
12600,13700,7,28,1111111011001111011110111101
12700,13700,25,26,1111011111100111111101011110
12800,13500,19,27,1111100111111011111001111110
13200,14900,17,1,1111110011111011110110101111
13700,16300,1,12,1111110100111111110111011110
13700,15200,28,21,1111111011001111011110111101
13700,13900,2,19,1111011111100111111101011110
13800,15500,1,4,1101111111011011101011011111
13800,15900,25,24,1111111011010111010111111101
13900,14700,16,24,1111111011001111110110111101
14400,15500,27,24,1110111011111010111011111110
14600,16700,25,23,1111111010111010110111111101
14700,15800,26,22,1111011111100111111101011110
15200,16400,21,16,1111111011001111011110111101
15500,16500,24,22,1110111011111010111011111110
15600,16200,1,11,1111110011111011110110101111
15600,19100,19,7,1111011111100111011001111111
16100,18400,12,5,1101101111110111111111011010
16300,18300,12,8,1111110100111111110111011110
16400,19900,16,20,1111111011001111011110111101
16500,17700,22,19,1111011111100111111101011110
16500,18000,18,20,1111111010111010110111111101
16600,17400,1,11,1110111111110011111111011001
16800,17800,9,12,1110111011111010111011111110
17000,18100,24,6,1111111011010111010111111101
17000,18300,2,6,1111110110110111110111011110
17100,18300,23,26,1111110011111010110011111111
17200,18100,11,3,1111110011111011110110101111
17300,18400,7,2,1101111111101011111111101001
17600,19100,4,1,1101111111011011101011011111
18900,20600,27,22,1101111111101011111011101011
19000,20900,20,22,1111111010111010110111111101
19100,21600,7,11,1111011111100111011001111111
19200,20300,24,20,1111111011001111110110111101
19200,20000,3,27,1111110011111011110110101111
19900,21300,23,5,1111111010111010110111111101
20100,20800,12,21,1110111011111010111011111110
20400,20500,5,4,1101101111110111111111011010
20500,21900,1,6,1101111111011011101011011111
20800,22300,21,23,1110111011111010111011111110
21400,23300,26,18,1111110011111010110011111111
21500,22800,19,16,1111011111100111111101011110
22000,24600,22,23,1111111010111010110111111101
22100,24800,8,14,1111110100111111110111011110
22200,23100,24,17,1111111010111010110111111101
22300,23400,20,28,1111111011001111110110111101
22300,23400,2,23,1101111111101011111111101001
23100,26500,23,25,1110111011111010111011111110
23200,24700,11,9,1111011111100111011001111111
23300,25400,18,27,1111110011111010110011111111
23400,24400,23,21,1101111111101011111111101001
23400,24500,28,7,1111111011001111110110111101
24400,24900,6,2,1101111111011011101011011111
24500,27400,7,3,1111111011001111110110111101
24800,27200,14,5,1111110100111111110111011110
24900,26300,2,10,1101111111011011101011011111
25000,25800,21,20,1101111111101011111111101001
25600,28200,2,5,1111110011111011110110101111
25900,27000,19,24,1111100111111011111001111110
26000,27300,4,2,1111011111100111111101011110
26200,27300,6,2,1111011111100111111101011110
26300,26600,20,7,1111111011001111011110111101
26500,29900,25,26,1110111011111010111011111110
26600,28000,20,28,1101111111101011111111101001
26600,28300,4,6,1101111111101011111011101011
26800,28300,27,18,1111110011111010110011111111
26900,28100,23,28,1111111010111010110111111101
27000,28200,9,8,1111011111100111011001111111
27300,28800,2,17,1111011111100111111101011110
27300,29500,11,5,1110111111110011111111011001
27300,28800,2,6,1111011111100111111101011110
27400,27600,3,25,1111111011001111110110111101
27600,28700,5,17,1111110100111111110111011110
27700,29300,10,13,1101111111011011101011011111
28100,30300,25,1,1111110011111010111011111011
28600,30900,4,1,1111100111111011111001111110
28800,29600,6,3,1111011111100111111101011110
29100,29100,8,27,1111011111100111011001111111
29200,30500,25,6,1110111011111010111011111110
29300,31600,13,8,1101111111011011101011011111
29500,30500,5,18,1110111111110011111111011001
29600,31200,28,20,1111111011001111110110111101
29600,30800,3,2,1111011111100111111101011110
29900,31400,28,6,1111110011111011110110101111
30000,31900,18,10,1111110011111010110011111111
30300,32900,17,20,1111011111100111111101011110
30300,33100,1,22,1111110011111010111011111011
30300,32600,5,4,0101111111111011101011111101
30500,31900,28,18,1101111111101011111111101001
30500,31700,6,21,1110111011111010111011111110
30500,33300,18,19,1110111111110011111111011001
30600,33100,6,9,1101111111101011111011101011
30800,32500,2,6,1111011111100111111101011110
31100,33000,16,21,1111111011010111010111111101
31900,34100,10,18,1111110011111010110011111111
32100,37000,1,8,1111100111111011111001111110
32500,34500,6,17,1111011111100111111101011110
32700,35500,17,18,1111111010111010110111111101
32700,33400,10,6,1011111111100111011001111111
32900,33700,6,28,1111110011111011110110101111
33000,33600,21,2,1111111011010111010111111101
33100,34600,15,17,1101101111110111111111011010
33100,38000,9,16,1101111111101011111011101011
33700,34300,28,20,1111110011111011110110101111
34100,35900,18,13,1111110011111010110011111111
34400,36600,6,4,1011111111100111011001111111
34500,36200,26,24,1110111011111010111011111110
34700,36000,20,6,1111111011001111011110111101
34900,38200,4,11,0101111111111011101011111101
35100,36900,2,9,1111111011010111010111111101
35200,36100,17,21,1101101111110111111111011010
35700,36900,20,17,1111110011111011110110101111
35900,37400,3,1,1110111111110011111111011001
35900,36400,13,1,1111110011111010110011111111
36600,37300,4,10,1011111111100111011001111111
36600,38200,3,5,1111110100111111110111011110
37000,39000,8,3,1111100111111011111001111110
37000,37400,19,1,1110111111110011111111011001
37100,38100,21,17,1101101111110111111111011010
37300,39300,10,1,1011111111100111011001111111
37600,38600,24,22,1110111011111010111011111110
37600,38200,1,3,1111110011111010110011111111
37800,38600,6,7,1111111011001111011110111101
37900,39500,17,26,1111110011111011110110101111
38000,40400,16,23,1101111111101011111011101011
38000,39700,15,16,1101101111110111111111011010
38200,39500,9,7,1111111011010111010111111101
38200,39800,3,1,1111110011111010110011111111
38500,38700,18,7,1111111010111010110111111101
38600,40500,7,20,1111111011001111011110111101
39000,41200,3,12,1111100111111011111001111110
39000,40100,1,5,1110111111110011111111011001
39400,41500,17,16,1101101111110111111111011010
39400,40400,3,10,1111011111100111111101011110
39600,42300,8,22,1111011111100111011001111111
39700,42600,11,9,0101111111111011101011111101
39800,40800,1,4,1111110011111010110011111111
40000,41700,3,20,1111111011001111110110111101
40300,41500,5,13,1111110011111010111011111011
40400,41900,1,19,1011111111100111011001111111
40500,42600,20,25,1111111011001111011110111101
40800,42300,4,10,1111110011111010110011111111
40900,42700,4,5,1111100111111011111001111110
41100,43600,5,8,1111110100111111110111011110
41300,42900,13,2,1101111111101011111111101001
41900,42400,26,23,1111110011111011110110101111
42500,44900,10,14,1111011111100111111101011110
42600,45100,25,23,1111111011001111011110111101
42600,44700,23,16,1101111111101011111011101011
42600,43700,9,24,0101111111111011101011111101
42700,44200,5,26,1111100111111011111001111110
42800,44600,7,9,1111111011010111010111111101
43200,44600,5,8,1101101111110111111111011010
43300,44600,13,9,1111110011111010111011111011
43500,44700,10,2,1111110011111010110011111111
44200,46100,26,22,1111100111111011111001111110
44300,47500,12,13,1110111011111010111011111110
44400,46300,27,8,1111011111100111111101011110
44500,46000,24,12,0101111111111011101011111101
44600,46200,8,10,1101101111110111111111011010
44900,47100,12,3,1111111011010111010111111101
45000,47300,26,27,1101111111011011101011011111
45500,49000,2,10,1110111011111010111011111110
45900,48100,16,25,1101111111101011111011101011
45900,47500,5,12,1111110110110111110111011110
45900,47100,22,26,1111011111100101011001111111
46000,47600,9,10,1111111011010111010111111101
46100,47600,5,10,1110111111110011111111011001
46100,47700,22,16,1111100111111011111001111110
46200,46500,12,23,1111100111111011111001111110
46300,47600,8,2,1111011111100111111101011110
46600,48200,2,13,1101111111101011111111101001
46800,47800,9,2,1111110011111010111011111011
47400,48900,3,1,1110111111110011111111011001
47500,48500,10,2,1101101111110111111111011010
47500,48900,12,4,1111110110110111110111011110
47600,49900,27,26,1101111111011011101011011111
47700,48700,16,4,1111100111111011111001111110
47800,50100,15,22,1101101111110111111111011010
47800,48800,2,9,1111110011111010111011111011
48100,49500,3,10,1111111011010111010111111101
48100,48500,25,22,1101111111101011111011101011
48200,49800,14,8,1111011111100111111101011110
48300,50200,8,12,1111110100111111110111011110
48600,49700,12,23,0101111111111011101011111101
48700,50100,4,11,1111100111111011111001111110
48900,50800,2,4,1111011111100111111101011110
48900,51300,10,3,1110111111110011111111011001
49000,52900,10,9,1110111011111010111011111110
49400,51000,9,13,1111110011111010111011111011
49400,51000,10,3,1111111011010111010111111101
49700,51400,23,21,0101111111111011101011111101
49900,51300,26,19,1101111111011011101011011111
50100,51200,11,4,1111100111111011111001111110
50600,51700,4,5,1011111111100111011001111111
50800,52800,18,26,1111111010111010110111111101
50900,51500,21,20,1111111011001111011110111101
51100,52400,12,3,1111110100111111110111011110
51300,52500,2,10,1101101111110111111111011010
51400,53200,21,11,0101111111111011101011111101
52000,54300,4,17,1111011111100111111101011110
52100,54900,1,9,1110111111110011111111011001
52400,53600,8,1,1101101111110111111111011010
52500,53900,10,8,1101101111110111111111011010
52800,54500,19,28,1101111111011011101011011111
52800,54200,3,1,1110111111110011111111011001
52900,54500,13,5,1111110011111010111011111011
53000,54700,22,23,1101111111101011111011101011
53300,54900,8,2,1111011111100111111101011110
53900,55100,3,9,1111111011010111010111111101
54000,56900,10,20,1111111011010111010111111101
54100,54800,9,5,1110111011111010111011111110
54200,55800,26,22,1111111010111010110111111101
54200,55400,5,3,1111110011111011110110101111
54200,55300,26,7,1111011111100101011001111111
54200,54800,5,18,1011111111100111011001111111
54300,55700,17,25,1111011111100111111101011110
54400,55900,3,4,1111110100111111110111011110
54500,57900,11,26,1111100111111011111001111110
54900,56200,23,25,1111110011111010110011111111
55300,56600,8,7,1101101111110111111111011010
55400,56600,1,2,1101101111110111111111011010
55500,56000,8,4,1101111111011011101011011111
55900,57100,1,11,1110111111110011111111011001
55900,57600,2,4,1111011111100111111101011110
56100,58900,25,3,1111011111100111111101011110
56100,57100,18,25,1011111111100111011001111111
56100,58000,5,12,1111110011111010111011111011
56200,59000,9,8,1110111111110011111111011001
56500,60000,5,14,1111111011001111110110111101
56600,57800,3,11,1111100111111011111001111110
56900,60100,3,4,1111110011111011110110101111
56900,58400,4,22,1111110110110111110111011110
57300,59400,9,1,1111111011010111010111111101
57300,59500,2,9,1101101111110111111111011010
57400,60100,4,5,1111110100111111110111011110
57400,58600,23,17,1101111111101011111011101011
57500,58400,7,5,1101101111110111111111011010
57600,58600,4,3,1111011111100111111101011110
57900,59400,26,15,1111100111111011111001111110
58300,61200,25,22,1111110011111010110011111111
58500,59700,5,7,1110111011111010111011111110
58500,61300,4,13,1101111111011011101011011111
58700,60800,11,1,1110111111110011111111011001
58700,61300,22,13,1111111010111010110111111101
58800,60000,25,23,1111100111111011111001111110
59100,61300,21,24,0101111111111011101011111101
59600,60400,5,4,1101101111110111111111011010
59800,59900,17,2,1101111111101011111011101011
59900,61600,2,8,1101111111101011111011101011
60000,62700,14,13,1111111011001111110110111101
60000,61000,1,5,1111111011010111010111111101
60800,61900,9,14,1101101111110111111111011010
60900,62200,4,10,1111110011111011110110101111
61000,62600,7,2,1110111011111010111011111110
61200,62600,4,11,1111100111111011111001111110
61300,62800,13,9,1101111111011011101011011111
61300,63400,13,7,1111111010111010110111111101
61500,63800,5,1,1111111011010111010111111101
61600,63400,4,5,1101101111110111111111011010
61600,62800,7,1,1111111011010111010111111101
61800,62600,3,4,1111011111100111111101011110
62000,64100,1,10,1110111111110011111111011001
62300,63500,23,24,1111100111111011111001111110
62500,64100,3,14,1111011111100111111101011110
62600,63900,24,16,0101111111111011101011111101
62600,64000,14,9,1101101111110111111111011010
62800,63800,10,4,1111110011111011110110101111
63200,65300,2,10,1110111011111010111011111110
64200,65900,1,14,1111111011010111010111111101
64300,66200,5,14,1111111011001111011110111101
64400,65500,9,2,1111110011111010111011111011
64700,66500,24,23,1111100111111011111001111110
64800,65000,4,10,1111110011111011110110101111
65100,69700,7,12,1111111010111010110111111101
65200,66800,10,7,1110111111110011111111011001
65300,66100,8,7,1101111111101011111011101011
65700,66800,16,17,0101111111111011101011111101
65800,66600,9,13,1101111111011011101011011111
65800,66500,11,18,1111100111111011111001111110
66500,67500,22,15,1111110011111010110011111111
66500,69300,18,22,1111100111111011111001111110
66500,67400,10,20,1111110011111011110110101111
66800,66900,23,11,1111100111111011111001111110
67100,68500,25,26,1110111011111010111011111110
67200,69800,9,18,1101101111110111111111011010
67400,68200,7,10,1110111111110011111111011001
67400,68400,14,5,1111111011010111010111111101
67500,69600,14,10,1111111011001111011110111101
67800,68800,1,5,1111111011010111010111111101
68000,70600,17,23,0101111111111011101011111101
68100,70700,7,18,1101111111101011111011101011
68800,71900,18,25,1011111111100111011001111111
68800,70200,15,26,1111110011111010110011111111
68800,70600,2,27,1111110011111010111011111011
68900,70100,15,18,1111110011111011110110101111
68900,70000,22,17,1111100111111011111001111110
69000,71200,10,3,1110111111110011111111011001
69100,71300,22,7,1111011111100111111101011110
69200,69800,5,1,1111111011010111010111111101
69300,70500,22,2,1111100111111011111001111110
69400,70400,9,2,1111111011001111110110111101
69400,70600,5,14,1111110100111111110111011110
70000,71300,18,28,1111011111100101011001111111
70100,71700,5,3,1111111011010111010111111101
70400,71900,2,4,1111111011001111110110111101
70500,71200,1,14,1111111011010111010111111101
70600,71700,10,9,1111111011001111011110111101
70700,71900,18,17,1101111111101011111011101011
71200,73700,3,11,1110111111110011111111011001
71300,72400,26,25,1110111011111010111011111110
71500,72900,14,7,1111111011010111010111111101
71800,73100,5,4,1101101111110111111111011010
71900,72800,4,1,1111111011001111110110111101
71900,75700,17,23,1101111111101011111011101011
72100,73600,23,19,0101111111111011101011111101
72200,74800,17,16,1111100111111011111001111110
72300,73700,28,15,1111011111100101011001111111
72400,75600,24,18,1110111111110011111111011001
72500,74300,18,25,1101101111110111111111011010
72800,74900,1,17,1111111011001111110110111101
72800,74800,2,1,1111100111111011111001111110
73400,76000,27,2,1111110011111011110110101111
73600,76400,18,27,1111011111100111111101011110
73900,74800,25,18,1110111011111010111011111110
73900,75800,14,1,1111110100111111110111011110
74000,75200,4,14,1101101111110111111111011010
74000,75900,3,10,1111111011010111010111111101
74700,74900,19,13,0101111111111011101011111101
74800,76600,25,11,1011111111100111011001111111
74800,76900,18,26,1110111011111010111011111110
74900,75700,17,18,1111111011001111110110111101
75200,77100,15,22,1111011111100101011001111111
75300,77100,6,2,1101111111101011111111101001
75300,76400,25,19,1101101111110111111111011010
75700,76500,1,13,1111100111111011111001111110
75700,76700,18,28,1111111011001111110110111101
75700,78100,23,16,1101111111101011111011101011
75800,77100,7,5,1111111011010111010111111101
75800,77300,9,25,1111111011001111011110111101
75900,76800,10,16,1111111011010111010111111101
76100,77600,1,10,1111100111111011111001111110
76100,77000,7,2,1101111111011011101011011111
76400,77800,19,17,1101101111110111111111011010
76700,78300,26,17,1111110011111010110011111111
76700,78200,23,27,1111110011111011110110101111
76900,77500,18,5,1110111111110011111111011001
77400,78000,11,20,1110111111110011111111011001
77500,80400,5,1,1110111111110011111111011001
77900,81400,28,26,1111111011001111110110111101
78100,81100,5,16,1111111011010111010111111101
78200,78700,27,16,1111110011111011110110101111
78300,79300,27,1,1111110011111010111011111011
78300,79700,10,4,1111100111111011111001111110
78400,78500,16,6,1111111011010111010111111101
78600,79800,14,5,1101101111110111111111011010
78700,80100,16,27,1111110011111011110110101111
78900,81100,11,14,1011111111100111011001111111
79100,81700,2,8,1101111111101011111111101001
79300,81000,1,3,1111110011111010111011111011
79700,80000,20,11,1110111111110011111111011001
80100,81100,27,2,1111110011111011110110101111
80200,82400,27,24,1111011111100111111101011110
80200,82000,17,15,1101101111110111111111011010
80300,81400,16,18,1101111111101011111011101011
80400,81600,1,10,1110111111110011111111011001
81000,82600,3,13,1111110011111010111011111011
81100,81900,2,4,1111110011111011110110101111
81100,82900,4,8,1111100111111011111001111110
81200,82200,13,7,1111111010111010110111111101
81300,82300,11,1,1110111111110011111111011001
81600,83600,22,26,1111011111100101011001111111
81900,82700,17,26,1111110011111010110011111111
82200,83300,7,13,1111111010111010110111111101
82300,83800,18,23,1101111111101011111011101011
83000,84200,2,7,1101111111011011101011011111
83100,84400,15,20,1101101111110111111111011010
83200,84800,21,10,1111110011111011110110101111
83300,84200,24,1,1111011111100111111101011110
83300,86300,19,26,0101111111111011101011111101
83600,84400,26,17,1111110011111010110011111111
83600,85300,13,9,1111110011111010111011111011
83800,84900,5,6,1111110110110111110111011110
84300,86600,8,5,1101111111101011111111101001
84300,86000,10,8,1110111111110011111111011001
84400,87600,17,27,1111110011111010110011111111
84400,85100,20,21,1101101111110111111111011010
84700,85900,7,2,1111111011001111011110111101
84800,86100,10,21,1111110011111011110110101111
84800,86500,16,21,1111111011010111010111111101
84900,86800,6,5,1111110110110111110111011110
84900,86200,6,10,1111111011010111010111111101
85000,87600,14,22,1011111111100111011001111111
85100,89900,23,10,1101111111101011111011101011
85300,86400,26,18,1111011111100101011001111111
85900,86600,7,10,1101111111011011101011011111
86400,87800,18,2,1111011111100111111101011110
86400,87500,9,3,1111110011111010111011111011
86900,87900,1,11,1110111111110011111111011001
87100,89700,24,25,1110111011111010111011111110
87300,89100,21,24,1111111011010111010111111101
87300,88400,21,22,1101101111110111111111011010
87600,89500,26,24,0101111111111011101011111101
87600,88700,22,15,1011111111100111011001111111
88000,89800,8,17,1111100111111011111001111110
88100,89100,10,3,1111110011111011110110101111
88300,88800,8,21,1110111111110011111111011001
88800,89500,9,4,1111111011001111011110111101
88900,89600,2,8,1111011111100111111101011110
88900,90300,22,19,1101101111110111111111011010
89100,89900,3,6,1111110011111010111011111011
89100,90800,24,5,1111111011010111010111111101
89500,90300,4,2,1111111011001111011110111101
89700,91000,11,5,1110111111110011111111011001
89800,91200,27,18,1111110011111010110011111111
89800,90400,17,25,1111100111111011111001111110
89800,91100,3,6,1111110011111011110110101111
89900,90800,24,21,1101111111011011101011011111
90200,91300,21,16,1110111111110011111111011001
90300,91500,2,7,1111111011001111011110111101
90400,92100,25,11,1111100111111011111001111110
90500,93400,8,9,1111011111100111111101011110
90500,92700,25,23,1110111011111010111011111110
90600,91500,6,3,1111110011111010111011111011
90800,92900,5,3,1111111011010111010111111101
90900,92900,19,24,1101101111110111111111011010
90900,93200,23,21,1111111010111010110111111101
91100,93400,10,8,1101111111101011111011101011
91300,92300,16,28,1110111111110011111111011001
91700,92700,25,23,1110111011111010111011111110
91800,93800,24,7,0101111111111011101011111101
92000,93000,21,25,1101111111011011101011011111
92100,93300,7,4,1111111011001111011110111101
92300,92600,28,2,1110111111110011111111011001
92500,93700,4,11,1111110011111011110110101111
92700,93600,23,18,1110111011111010111011111110
93200,93400,21,1,1111111010111010110111111101
93400,94900,9,11,1111011111100111111101011110
93500,95600,18,9,1111110011111010110011111111
93700,94800,11,4,1111110011111011110110101111
93900,94500,28,16,1111111011001111011110111101
94100,96000,3,7,1111111011010111010111111101
94300,99100,2,14,1111110110110111110111011110
94400,97000,23,22,1110111011111010111011111110
94400,95800,3,13,1111110011111010111011111011
94700,96700,18,17,1110111011111010111011111110
94900,96300,24,19,1101101111110111111111011010
95100,96600,5,11,1110111111110011111111011001
95300,96100,21,15,0101111111111011101011111101
95400,95500,19,19,1111100111111011111001111110
95900,96500,16,20,1111111011001111011110111101
96000,96800,25,22,1101111111011011101011011111
96100,97500,15,25,0101111111111011101011111101
96500,99500,11,9,1111011111100111111101011110
96800,98200,22,17,1101111111011011101011011111
96900,98200,13,2,1111110011111010111011111011
97000,97700,19,22,1101101111110111111111011010
97500,99400,11,1,1110111111110011111111011001
97500,100400,25,4,0101111111111011101011111101
97600,99900,8,10,1101111111101011111011101011
97700,98900,4,10,1111110011111011110110101111
97700,98600,20,1,1111111011001111011110111101
97700,99400,22,27,1101101111110111111111011010
98200,100200,2,9,1111110011111010111011111011
98300,99700,17,25,1111100111111011111001111110
98400,99700,8,5,1011111111100111011001111111
98600,99900,1,4,1111111011001111011110111101
98900,100000,17,23,1110111011111010111011111110
99400,101500,1,22,1110111111110011111111011001
99600,100300,21,17,1111111011001111110110111101
99700,101200,5,3,1011111111100111011001111111
99800,101700,17,15,1101111111011011101011011111
100000,101100,22,24,1110111011111010111011111110
100000,102600,7,3,1111111011010111010111111101
100000,101300,10,2,1111110011111011110110101111
100400,101900,4,22,0101111111111011101011111101
100600,102500,17,21,1111111011001111110110111101
101000,102900,9,7,1111011111100111111101011110
101100,103000,25,8,1111100111111011111001111110
101100,103000,24,27,1110111011111010111011111110
101200,103300,3,18,1011111111100111011001111111
101200,102400,27,10,1101101111110111111111011010
101300,102500,2,11,1111110011111011110110101111
101500,103600,22,20,1110111111110011111111011001
101700,103900,27,17,1111110011111010110011111111
102000,103000,9,2,1111110011111010111011111011
102500,103300,23,17,1111111010111010110111111101
102500,104500,11,9,1111110011111011110110101111
102500,102700,15,13,1101111111011011101011011111
102800,103700,4,3,1111011111100101011001111111
103300,104500,18,10,1011111111100111011001111111
103300,103900,17,4,1111111010111010110111111101
103400,105000,23,27,1110111011111010111011111110
103500,106200,4,8,1111011111100111111101011110
103600,104300,20,19,1110111111110011111111011001
104500,105600,10,15,1011111111100111011001111111
104800,106300,20,18,1110111111110011111111011001
104900,105200,27,5,1110111011111010111011111110
105200,106500,22,17,0101111111111011101011111101
105200,107400,3,10,1111111011010111010111111101
105600,106500,19,16,1101111111011011101011011111
105600,107300,3,7,1111011111100101011001111111
105600,109000,15,19,1011111111100111011001111111
105800,106900,1,11,1110111111110011111111011001
105900,108200,7,8,1111011111100111111101011110
106400,107800,9,5,1111110011111011110110101111
106500,111100,16,28,1101111111011011101011011111
106500,108300,4,10,1111100111111011111001111110
106500,107400,27,23,1110111011111010111011111110
106700,107700,25,20,1111110100111111110111011110
106700,108100,27,23,1110111011111010111011111110
107400,108600,17,16,0101111111111011101011111101
107600,111200,25,24,1111110110110111110111011110
107700,108900,20,25,1111110100111111110111011110
107700,109500,2,9,1111110011111010111011111011
107900,109100,16,23,1111100111111011111001111110
107900,109000,10,6,1111110011111011110110101111
108100,109400,22,27,1101111111101011111011101011
108200,110000,8,24,1111011111100111111101011110
108500,109300,18,16,1110111111110011111111011001
108600,109800,10,3,1111111011010111010111111101
108800,110400,23,25,1110111011111010111011111110
108900,110900,25,17,1111110100111111110111011110
109100,109700,23,16,1111100111111011111001111110
109800,112100,23,25,1110111011111010111011111110
